Riesgo,Clasificacion
Suplantación de identidad en llamadas telefónicas para obtener información interna,4
No detectar y clasificar nuevas vulnerabilidades introducidas por cambios en el sistema,3
Desafíos en la implementación de políticas de seguridad en sistemas de vehículos autónomos conectados,3
Problemas en la instalación de software de seguridad,0
Errores en la configuración de políticas de seguridad en sistemas de almacenamiento distribuido,3
Ransomware en servidores de respaldo críticos,1
Desviaciones en la aplicación de políticas de seguridad en sistemas de análisis de big data en la nube,2
Pruebas de seguridad que no evalúan la resistencia ante amenazas internas malintencionadas,2
Ataques de fuerza bruta contra contraseñas de administrador,1
Errores en la definición de estrategias de pruebas,2
Implementación incompleta de sistemas alternativos para asegurar disponibilidad,1
Problemas en la implementación de controles de seguridad en sistemas SCADA,3
Malware que provoca fallos en el sistema de archivos,1
Errores en la configuración de políticas de seguridad en sistemas de emulación de software,3
Inyección SQL en bases de datos sensibles,1
Roles y privilegios de usuarios no revisados adecuadamente,1
Ataques de contraseña a cuentas de usuarios con privilegios de base de datos,3
Malware que afecta la velocidad de procesamiento,1
Soporte tecnológico ineficiente para la recuperación de datos,0
Gestión reactiva de incidentes que no realiza análisis forense adecuado,2
Diseñar controles de seguridad que no aborden las vulnerabilidades específicas del sistema,3
Fraude informático mediante manipulación de transacciones,4
Inconsistencias en la gestión de certificados de seguridad en sistemas de gestión de flotas de vehículos,3
Explotación de vulnerabilidades conocidas en servidores,1
Malware que compromete la seguridad de comunicaciones en red,1
Errores en la configuración de sistemas de monitoreo de seguridad,2
Ausencia de seguro que cubra daños potenciales,0
Recepción de mensajes de phishing con enlaces a páginas web falsas,4
Problemas en la seguridad de sistemas de gestión de identidad biométrica,4
Causas naturales que afectan la disponibilidad de servicios en línea,0
Pérdida de copias de resguardo por falta de pruebas regulares de recuperación,3
Errores en la definición de criterios de aceptación no funcionales,2
Diseñar controles de seguridad inadecuados para la protección de datos sensibles,3
Causas naturales que afectan la disponibilidad de servidores,0
Fraude informático mediante manipulación de registros de transacciones financieras,4
Gestión incompleta de incidentes que no realiza análisis de impacto empresarial,2
Inconsistencias en la gestión de certificados de cifrado en aplicaciones cliente-servidor,3
Inconsistencias en la gestión de actualizaciones de seguridad en sistemas operativos,3
Problemas en la seguridad de sistemas de autenticación biométrica facial,4
Infección de sistemas por código malicioso en descargas de aplicaciones,4
Malware que roba información financiera,1
Fallos en la implementación de sistemas alternativos para asegurar la disponibilidad,1
Inconsistencias en la gestión de certificados de seguridad en sistemas de análisis de comportamiento de usuario,3
Fallas en la protección contra ataques de sniffing en redes Wi-Fi,4
Pruebas de seguridad sin evaluación de la seguridad en el ciclo de vida del desarrollo,2
Falta de integración entre la gestión de riesgos informáticos y la gestión de recursos humanos,2
Pruebas de seguridad que no evalúan la seguridad de los protocolos de comunicación,2
Inconsistencias en la gestión de vulnerabilidades en aplicaciones web,3
Desviaciones en la aplicación de políticas de seguridad en sistemas de control de acceso biométrico,3
Desafíos en la implementación de políticas de seguridad en sistemas de ciberseguridad cuántica,3
Ataques de phishing contra usuarios de sistemas de nube,1
Falta de capacitación en la gestión de riesgos informáticos para el personal,2
Desconexión de sistemas críticos por ataques DDoS,1
Daños físicos al equipamiento por incidentes de seguridad física,4
Intentos de ingeniería social para obtener información confidencial,4
Desconexión de sistemas críticos por errores de configuración,0
Gestión incompleta de incidentes que no incluye análisis de lecciones aprendidas,2
Pérdida de copias de resguardo por fallas en los procedimientos de respaldo,3
Recepción de mensajes de phishing con enlaces a páginas web falsas,4
Desafíos en la implementación de políticas de seguridad en sistemas embebidos,2
Pruebas de seguridad que no evalúan la eficacia de los controles existentes,2
No tener planes de Disaster Recovery para hacer frente a posibles desastres,1
Descuidar la gestión de riesgos informáticos en áreas específicas de la empresa,2
Detección tardía y clasificación incorrecta de vulnerabilidades críticas,3
Configuración insegura de servidores de base de datos,0
Ataques de contraseña a cuentas de usuarios con acceso a secretos comerciales,3
Roles y privilegios de usuarios no revisados periódicamente,1
Fraude informático mediante manipulación de procesos de autorización,4
Envío de enlaces maliciosos a través de mensajes de phishing,4
Ataques de contraseña a cuentas de usuarios con acceso a datos personales,2
Ataques de contraseña a cuentas de usuarios finales,2
Problemas en la protección contra ataques de phishing,4
Soporte tecnológico lento en la resolución de problemas de software,0
Errores en la instalación de software de cortafuegos,0
Problemas de configuración en servidores de correo electrónico,0
Fallas en la protección contra amenazas de ataques de denegación de servicio distribuido (DDoS),4
Gestión deficiente de incidentes de seguridad,2
Desafíos en la implementación de políticas de seguridad en sistemas de teletrabajo,2
Errores humanos que generan pérdida de información confidencial,0
Diseñar controles de seguridad sin considerar el impacto de vulnerabilidades día cero,3
Errores en la configuración de políticas de seguridad de dispositivos IoT,3
Ransomware que afecta la disponibilidad de servidores de correo electrónico,1
Pruebas de seguridad insuficientes para identificar amenazas potenciales,3
Desviaciones en la aplicación de políticas de seguridad en entornos DevOps,2
Desviaciones en la aplicación de pruebas de localización,2
Configuración insuficiente de permisos en servidores,0
Falta de implementación completa de sistemas de seguridad en la nube,0
Acceso no autorizado a servidores de aplicaciones empresariales,1
Ataques de contraseña a cuentas de administradores de sistemas,4
Minimizar la importancia de la gestión de riesgos informáticos en eventos empresariales,2
Implementación deficiente de sistemas alternativos para asegurar disponibilidad,1
Fallas en la ejecución de pruebas de recuperación ante desastres,3
Envío de enlaces maliciosos a través de mensajes de phishing en redes corporativas,4
Ataques de phishing contra cuentas de clientes,1
Fallas en la protección contra ataques de fuerza bruta a servicios web,4
Ransomware en dispositivos de almacenamiento compartido,1
Desviaciones en la aplicación de políticas de seguridad en sistemas de domótica,2
Acceso no autorizado a información impresa de planes estratégicos de la empresa,3
Daños físicos al equipamiento por problemas eléctricos,4
Inconsistencias en la gestión de certificados de seguridad en sistemas de transacciones blockchain,3
Asignación negligente de roles con altos privilegios,4
No tener un seguro que cubra daños ocasionados,0
Errores humanos que causan malfuncionamiento en aplicaciones críticas,0
Infección de sistemas por código malicioso en descargas de aplicaciones,4
Diseñar controles de seguridad demasiado restrictivos que afectan la productividad,2
No contar con un seguro que cubra los posibles daños ocasionados,0
Errores en la configuración de cortafuegos en servidores web,0
Participación humana involuntaria en el acceso no autorizado a sistemas,0
Implementación parcial de sistemas de seguridad en la nube,0
Ataques de malware contra servidores de aplicaciones empresariales,1
Acceso no autorizado a sistemas de monitoreo de red,1
Problemas en la seguridad de sistemas de reconocimiento de voz,4
Errores humanos que generan pérdida de datos,0
Pérdida de copias de resguardo por falta de actualización de procedimientos,3
Errores en la instalación de software de cortafuegos,0
Pruebas de seguridad que no evalúan la seguridad de los servicios web,2
Fraude informático mediante manipulación de procesos de adquisiciones,4
No detectar y clasificar vulnerabilidades relacionadas con la privacidad de datos,3
Falta de cifrado en la comunicación de servidores,0
Ataques de contraseña a cuentas de usuarios con acceso a datos personales,2
Roles y privilegios de usuarios sin revisión adecuada,1
Errores en la identificación de requisitos funcionales,2
Problemas en la seguridad de sistemas de pago en línea,4
Diseñar controles de seguridad que no se adaptan a la dinámica del negocio,3
Diseñar controles de seguridad sin evaluar la seguridad en la cadena de suministro,3
Acceso no autorizado a información impresa de tarjetas de crédito,4
Desafíos en la protección contra ataques de envenenamiento de DNS,4
Ataque de phishing dirigido a empleados,1
Falta de implementación de sistemas alternativos para asegurar alta disponibilidad,1
Inconsistencias en la documentación de escenarios de prueba,2
Phishing dirigido a empleados con privilegios elevados,4
Recepción de mensajes de phishing con enlaces a páginas web falsas,4
No detectar y clasificar vulnerabilidades en dispositivos móviles corporativos,3
Desafíos en la detección de defectos en interfaces,2
Participación humana involuntaria en la filtración de datos,0
Pérdida de copias de resguardo por falta de cifrado de datos almacenados,3
Ataques de spear phishing contra empleados clave,1
